GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1278364694,20251209,202512,2025,2025.9288,,,,,,,,,,,NGA,NIGERIA,NGA,,,,,,,,0,051,051,05,1,3.4,2,1,2,1.65289256198347,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209121500,https://punchng.com/coup-tinubu-seeks-senate-approval-for-troop-deployment-to-benin/
1278422097,20251209,202512,2025,2025.9288,FRA,FRANCE,FRA,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,050,050,05,1,3.5,10,1,10,-4.06779661016949,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209180000,https://www.marketscreener.com/news/france-provided-logistical-support-to-benin-to-thwart-coup-elysee-says-ce7d51d3d888f326
1278445169,20251209,202512,2025,2025.9288,GHA,GHANA,GHA,,,,,,,,IGOWAFWAS,ECONOMIC COMMUNITY OF WEST AFRICAN STATES,WAF,WAS,,,,IGO,,,1,012,012,01,1,-0.4,10,1,10,-4.5346062052506,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209203000,https://saharareporters.com/2025/12/09/ghanas-socialist-movement-warns-ecowas-against-endorsing-talon-amid-democratic-decline
1278432955,20251209,202512,2025,2025.9288,MIL,MILITARY,,,,,,MIL,,,MED,TELEVISION,,,,,,MED,,,1,010,010,01,1,0,20,2,20,-0.114208284939995,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209184500,https://www.diariosigloxxi.com/texto-ep/mostrar/20251209182130/francia-reconoce-brindo-apoyo-autoridades-benin-frustrar-golpe-estado
1278445301,20251209,202512,2025,2025.9288,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,BEN,BENINESE,BEN,,,,,,,,0,080,080,08,2,5,10,1,10,-4.5346062052506,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209203000,https://saharareporters.com/2025/12/09/ghanas-socialist-movement-warns-ecowas-against-endorsing-talon-amid-democratic-decline
1278424097,20251209,202512,2025,2025.9288,FRA,FRENCH,FRA,,,,,,,,NGA,NIGERIA,NGA,,,,,,,,1,010,010,01,1,0,10,1,10,-0.82644628099174,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209180000,https://www.zonebourse.com/actualite-bourse/la-france-a-apporte-un-soutien-logistique-au-benin-pour-dejouer-une-tentative-de-coup-d-etat-selon-ce7d51d3d888f326
1278429204,20251209,202512,2025,2025.9288,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,GOV,GOVERNANCE,,,,,,GOV,,,0,020,020,02,1,3,5,1,5,-5,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209184500,https://theeagleonline.com.ng/benins-failed-coup-russian-shadows-weaponised-disinformation-and-a-warning-to-west-africa-by-oumarou-sanou/
1278365401,20251209,202512,2025,2025.9288,LEG,SENATE PRESIDENT,,,,,,LEG,,,,,,,,,,,,,1,010,010,01,1,0,6,1,6,1.65289256198347,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20251209121500,https://punchng.com/coup-tinubu-seeks-senate-approval-for-troop-deployment-to-benin/
1278439164,20251209,202512,2025,2025.9288,,,,,,,,,,,BENGOV,BENIN,BEN,,,,,GOV,,,1,040,040,04,1,1,10,1,10,13.4615384615384,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209193000,https://www.annaharkw.com/annahar/Article.aspx?id=1034985
1278424320,20251209,202512,2025,2025.9288,NGA,NIGERIA,NGA,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,072,072,07,2,8.3,10,1,10,0.72463768115942,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209180000,https://fr.allafrica.com/stories/202512090595.html
1278430744,20251209,202512,2025,2025.9288,MIL,MILITARY,,,,,,MIL,,,AFR,AFRICA,AFR,,,,,,,,0,051,051,05,1,3.4,10,1,10,1.97044334975369,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209183000,https://www.senenews.com/actualites/putsch-dejoue-au-benin-la-france-revele-son-role-secret-dans-loperation_568664.html
1278430457,20251209,202512,2025,2025.9288,FRA,FRANCE,FRA,,,,,,,,BENMIL,BENIN,BEN,,,,,MIL,,,1,051,051,05,1,3.4,2,1,2,-0.662251655629141,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209183000,https://www.parismatch.com/actu/international/comment-la-france-a-aide-le-benin-a-contrer-une-tentative-de-putsch-261364
