MonthYear,ActionGeo_ADM1Code,Total_Events,Goldstein_Neg_Mean,AvgTone_Neg_Mean,QuadClass4_Count,MIL_COP_Count,Pct_QuadClass4,Goldstein_Neg_Norm,AvgTone_Neg_Norm,Pct_QuadClass4_Norm,ISRB,Target_ISRB_NextMonth,Dept_BN08,Dept_BN09,Dept_BN10,Dept_BN11,Dept_BN12,Dept_BN13,Dept_BN14,Dept_BN15,Dept_BN16,Dept_BN18
202602,BN08,5.0,-7.5,-4.302057864016832,2.0,0.0,40.0,0.75,0.43020578640168317,0.4,0.5300514466004208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202603,BN08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24052037786292654,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202504,BN09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202505,BN09,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4038582903040736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202506,BN09,21.0,-5.0,-7.63052208835342,2.0,0.0,9.523809523809524,0.5,0.763052208835342,0.09523809523809523,0.4038582903040736,0.3664251091020506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202507,BN09,37.0,-4.8,-4.477544904622565,8.0,0.0,21.62162162162162,0.48,0.4477544904622565,0.2162162162162162,0.3664251091020506,0.45543605147564936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,BN09,19.0,-4.875,-7.181915743236499,5.0,0.0,26.31578947368421,0.4875,0.7181915743236499,0.2631578947368421,0.45543605147564936,0.031676413255360504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202509,BN09,1.0,0.0,-1.26705653021442,0.0,0.0,0.0,0.0,0.12670565302144202,0.0,0.031676413255360504,0.3759929971988795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202510,BN09,14.0,-6.6,-4.65686274509804,1.0,0.0,7.142857142857142,0.6599999999999999,0.46568627450980404,0.07142857142857142,0.3759929971988795,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,BN09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3657713790173398,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,BN09,22.0,-7.5,-2.6763097061481376,2.0,0.0,9.090909090909092,0.75,0.2676309706148138,0.09090909090909091,0.3657713790173398,0.36055861920956883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202601,BN09,32.0,-7.1,-2.4823447683827546,4.0,0.0,12.5,0.71,0.24823447683827546,0.125,0.36055861920956883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202602,BN09,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42879760115301074,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202603,BN09,11.0,-5.0,-4.333722227938612,4.0,1.0,36.36363636363637,0.5,0.4333722227938612,0.36363636363636365,0.42879760115301074,0.3041397320001509,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202504,BN10,9.0,-4.133333333333334,-2.0269219873984023,1.0,3.0,11.11111111111111,0.4133333333333334,0.20269219873984023,0.1111111111111111,0.23978416079607118,0.4574630265859899,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
